Interactor A	Interaction	Interactor B	Interaction detection method(s)	Interaction identifier(s)	Interaction type(s)	Publication Identifier(s)	HostOrganism(s)	NumMethods	NumPublications	Throughput	Weight
P09486	interacts with	P15692	MI:0047(far western blotting)|MI:0492(in vitro)	BIOGRID_100616|HPRD_2901	MI:0407(direct interaction)|-	9792673|9792673	unspecified:32644|-	2	1	2	1.5
P05067	interacts with	P51692	MI:0096(pull down)	BIOGRID_229327	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q8TAV4	MI:0096(pull down)	BIOGRID_229681	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9UNE7	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_142020|BIOGRID_142019	MI:0915(physical association)|MI:0915(physical association)	17317785|17317785	unspecified:32644|unspecified:32644	1	1	8	0.25
P05067	interacts with	P61764	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0089(protein array)|MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_227926|HPRD_39631|InnateDB Allergy:IDB-1634460|InnateDB:IDB-1634460|innatedb:IDB-187009|UniProt_80198	MI:0407(direct interaction)|MI:0914(association)|MI:0915(physical association)	16049941|16049941|21832049|21832049	human-hippocampus:9606|taxid:0|taxid:9606|unspecified:32644	5	2	57	0.122807018
Q9NRW7	interacts with	Q9P253	MI:0493(in vivo)	HPRD_18084	-	14623309	-	1	1	8	0.25
Q9BRG1	interacts with	Q9UK41	MI:0114(x-ray crystallography)|MI:0004(affinity chromatography technology)	BIOGRID_192140|BIOGRID_195507	MI:0915(physical association)|MI:0915(physical association)	18539118|21543492	unspecified:32644|unspecified:32644	2	2	3	1.333333333
Q9BRG1	interacts with	Q9UBQ0	MI:0401(biochemical)	BIOGRID_237174	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
P05067	interacts with	P63165	MI:0415(enzymatic study)	BIOGRID_210073	MI:0407(direct interaction)	15561718	unspecified:32644	1	1	38	0.052631579
Q9H9H4	interacts with	Q9UK41	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0493(in vivo)	BIOGRID_86064|UniProt_114212|HPRD_30495	MI:0915(physical association)|MI:0915(physical association)|-	15218037|21516116|15218037	unspecified:32644|yeast:4932|-	2	2	7	0.571428571
Q8N1B4	interacts with	Q9UK41	MI:0018(two hybrid)	UniProt_114210	MI:0915(physical association)	21516116	yeast:4932	1	1	747	0.002677376
P05067	interacts with	P43405	MI:0096(pull down)	BIOGRID_228423	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q86TM6	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_146532|BIOGRID_146534	MI:0915(physical association)|MI:0407(direct interaction)	20237263|20237263	unspecified:32644|unspecified:32644	1	1	3	0.666666667
Q93009	interacts with	Q9UBQ0	MI:0004(affinity chromatography technology)	BIOGRID_258170	MI:0915(physical association)	23452853	unspecified:32644	1	1	6	0.333333333
P49286	interacts with	Q96QK1	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0493(in vivo)	UniProt_87645|UniProt_166411|HPRD_32391	MI:0914(association)|MI:0914(association)|-	17215244|17215244|17215244	human-293:9606|human-293:9606|-	2	1	40	0.075
P05067	interacts with	Q03519	MI:0096(pull down)	BIOGRID_229464	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
O15118	interacts with	Q9UN37	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_123359|BIOGRID_123357|BIOGRID_123358	MI:0407(direct interaction)|MI:0915(physical association)|MI:0403(colocalization)	16757520|16757520|16757520	unspecified:32644|unspecified:32644|unspecified:32644	1	1	2	1
P52198	interacts with	Q9UN37	MI:0493(in vivo)	HPRD_9292	-	11931639	-	1	1	1	2
Q9NP79	interacts with	Q9UN37	MI:0004(affinity chromatography technology)	BIOGRID_153730	MI:0915(physical association)	20164219	unspecified:32644	1	1	2	1
A8K0Z3	interacts with	B3KMC4	MI:0401(biochemical)	BIOGRID_243497	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
Q9NV70	interacts with	A8K0Z3	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	UniProt_131049|UniProt_131046	MI:0915(physical association)|MI:0915(physical association)	24344185|24344185	human-hela:9606|human-hela:9606	1	1	6	0.333333333
P05067	interacts with	Q9UHD2	MI:0096(pull down)	BIOGRID_229663	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
Q969Q5	interacts with	Q9H1K0	MI:0096(pull down)	BIOGRID_218798	MI:0407(direct interaction)	16034420	unspecified:32644	1	1	6	0.333333333
P05067	interacts with	P61812	MI:0091(chromatography technology)|MI:0091(chromatography technology)|MI:0091(chromatography technology)|MI:0493(in vivo)|MI:0091(chromatography technology)|MI:0091(chromatography technology)|MI:0091(chromatography technology)	UniProt_112221|UniProt_112220|UniProt_112219|HPRD_31436|UniProt_112224|UniProt_112222|UniProt_112225	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)	2119582|2119582|2119582|2119582|2119582|2119582|2119582	human-308:9606|human-308:9606|human-308:9606|human-308:9606|human-308:9606|human-308:9606	2	1	2	1.5
P05067	interacts with	P37173	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_228247|InnateDB Allergy:IDB-1634752|InnateDB:IDB-1634752	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	Q15583	MI:0096(pull down)	BIOGRID_228887	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P21980	MI:0096(pull down)	BIOGRID_229013	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P58753	MI:0004(affinity chromatography technology)|MI:0397(two hybrid array)	BIOGRID_288103|UniProt_117705	MI:0407(direct interaction)|MI:0915(physical association)	21988832|21988832	unspecified:32644|yeasx:4932	2	1	3521	8.52E-04
P05067	interacts with	Q9BX74	MI:0492(in vitro)|MI:0018(two hybrid)|MI:0018(two hybrid)	HPRD_37866|BIOGRID_270637|BIOGRID_270636	MI:0915(physical association)|MI:0407(direct interaction)	11278849|11278849|11278849	unspecified:32644|unspecified:32644	2	1	2	1.5
P05067	interacts with	P50616	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_228059|InnateDB Allergy:IDB-1634579|InnateDB:IDB-1634579	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	Q13625	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0492(in vitro)	UniProt_68131|UniProt_68133|UniProt_68132|HPRD_37822	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|-	11278849|11278849|11278849|11278849	yeasx:4932|yeasx:4932|yeasx:4932|-	2	1	2	1.5
P05067	interacts with	P13693	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_227827|InnateDB Allergy:IDB-1634374|InnateDB Allergy:IDB-1634424|InnateDB:IDB-1634374|InnateDB:IDB-1634424	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	Q8TDR0	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_228188|InnateDB Allergy:IDB-1634695|InnateDB:IDB-1634695	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	Q9Y4K3	MI:0096(pull down)	BIOGRID_229135	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q15629	MI:0096(pull down)	BIOGRID_228844	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q96RU7	MI:0096(pull down)	BIOGRID_229529	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P07437	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_229296|HPRD_39631|UniProt_80198|UniProt_80199|innatedb:IDB-187007	MI:0407(direct interaction)|MI:0914(association)|MI:0915(physical association)	16049941|21832049	human-hippocampus:9606|taxid:9606|unspecified:32644	4	2	57	0.105263158
P05067	interacts with	P0CG47	MI:0018(two hybrid)	BIOGRID_201017	MI:0407(direct interaction)	20205790	unspecified:32644	1	1	15	0.133333333
P05067	interacts with	P0CG48	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_146533|BIOGRID_142021|BIOGRID_142022|BIOGRID_185328|BIOGRID_269624|BIOGRID_163265|BIOGRID_181158|BIOGRID_265754|BIOGRID_172034|BIOGRID_175718	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	20237263|17317785|17317785|22399757|23000965|21987572|21906983|21963094|21139048|21890473	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644	2	9	3	3.666666667
P05067	interacts with	P61081	MI:0096(pull down)|MI:0004(affinity chromatography technology)	BIOGRID_227892|BIOGRID_217546	MI:0407(direct interaction)|MI:0407(direct interaction)	21832049|18096514	unspecified:32644|unspecified:32644	2	2	3	1.333333333
P05067	interacts with	Q05086	MI:0096(pull down)	BIOGRID_229138	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9UMX0	MI:0018(two hybrid)|MI:0055(fluorescent resonance energy transfer)|MI:0018(two hybrid)	BIOGRID_190278|BIOGRID_190326|BIOGRID_190281	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	21852239|16945923|21852239	unspecified:32644|unspecified:32644|unspecified:32644	2	2	1	4
P05067	interacts with	Q9BZV1	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_227910|InnateDB Allergy:IDB-1634445|InnateDB:IDB-1634445	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	P09936	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-187023	MI:0915(physical association)	16049941	taxid:9606	1	1	57	0.035087719
P05067	interacts with	P13051	MI:0089(protein array)|MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_228077|HPRD_39631|InnateDB Allergy:IDB-1634595|InnateDB:IDB-1634595	MI:0407(direct interaction)|MI:0915(physical association)	16049941|21832049	taxid:0|unspecified:32644	3	2	57	0.087719298
P05067	interacts with	P35125	MI:0096(pull down)	BIOGRID_228869	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q92738	MI:0096(pull down)	BIOGRID_228890	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q08AM6	MI:0096(pull down)	BIOGRID_228570	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q15836	MI:0096(pull down)	BIOGRID_228758	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9P0L0	MI:0096(pull down)	BIOGRID_228944	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P40337	MI:0096(pull down)	BIOGRID_228861	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9UBQ0	MI:0096(pull down)	BIOGRID_228806	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9H267	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_227955|InnateDB Allergy:IDB-1634485|InnateDB:IDB-1634485	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	Q96QK1	MI:0096(pull down)	BIOGRID_229407	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q8NEZ2	MI:0096(pull down)	BIOGRID_229159	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	A5D8V6	MI:0096(pull down)	BIOGRID_228352	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P49754	MI:0096(pull down)	BIOGRID_228635	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q9NP79	MI:0096(pull down)	BIOGRID_228979	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P98170	MI:0107(surface plasmon resonance)	innatedb:IDB-114524	MI:0915(physical association)	14576775	taxid:0	1	1	2	1
P05067	interacts with	P31946	MI:0096(pull down)	BIOGRID_228457	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	P61981	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	BIOGRID_185542|BIOGRID_185543|BIOGRID_185544	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	16223726|16223726|16223726	unspecified:32644|unspecified:32644|unspecified:32644	1	1	7	0.285714286
P05067	interacts with	P63104	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_228558|HPRD_39631|UniProt_80199|UniProt_80201|innatedb:IDB-187021	MI:0407(direct interaction)|MI:0914(association)|MI:0915(physical association)	16049941|21832049	human-hippocampus:9606|taxid:9606|unspecified:32644	4	2	57	0.105263158
P05067	interacts with	P25490	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_227837|InnateDB Allergy:IDB-1634381|InnateDB:IDB-1634381	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	P43403	MI:0089(protein array)|MI:0096(pull down)	BIOGRID_227923|InnateDB Allergy:IDB-1634457|InnateDB Allergy:IDB-1634753|InnateDB Allergy:IDB-1634845|InnateDB:IDB-1634457|InnateDB:IDB-1634753|InnateDB:IDB-1634845	MI:0407(direct interaction)|MI:0915(physical association)	21832049	taxid:0|unspecified:32644	2	1	1936	0.001549587
P05067	interacts with	P26651	MI:0096(pull down)	BIOGRID_229460	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	Q7Z3T8	MI:0096(pull down)	BIOGRID_229534	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
P05067	interacts with	B4DJ88	MI:0493(in vivo)	HPRD_37656	-	8855266	-	1	1	6	0.333333333
P07550	interacts with	Q9P0N8	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_248373|BIOGRID_248372	MI:0403(colocalization)|MI:0915(physical association)	23166351|23166351	unspecified:32644|unspecified:32644	1	1	5	0.4
P07550	interacts with	P13945	MI:0493(in vivo)	HPRD_18978	-	15123695	-	1	1	2	1
P07550	interacts with	P25098	MI:0415(enzymatic study)|MI:0096(pull down)	BIOGRID_250672|BIOGRID_110906	MI:0407(direct interaction)|MI:0915(physical association)	14654844|11309381	unspecified:32644|unspecified:32644	2	2	3	1.333333333
P07550	interacts with	Q02952	MI:0096(pull down)|MI:0096(pull down)|MI:0493(in vivo)|MI:0401(biochemical)	BIOGRID_110905|BIOGRID_110903|HPRD_6982|BIOGRID_110946	MI:0915(physical association)|MI:0407(direct interaction)|MI:0403(colocalization)	11309381|11309381|9880537|9880537	unspecified:32644|unspecified:32644|unspecified:32644	3	2	2	2.5
P07550	interacts with	P24588	MI:0007(anti tag coimmunoprecipitation)|MI:0493(in vivo)	HPRD_6973|InnateDB Allergy:IDB-1635252|InnateDB:IDB-1635252	MI:0915(physical association)	10753752	taxid:9606	2	1	2	1.5
P07550	interacts with	Q9UKV5	MI:0004(affinity chromatography technology)	BIOGRID_282526|BIOGRID_282678|BIOGRID_292035|InnateDB Allergy:IDB-1635109|InnateDB:IDB-1635109	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P36575	MI:0493(in vivo)	HPRD_6920	-	11877451	-	1	1	9	0.222222222
P07550	interacts with	P49407	MI:0493(in vivo)|MI:0493(in vivo)	HPRD_27389|HPRD_40101	-	16407241|18544533	-	1	2	1	3
P07550	interacts with	P32121	MI:0493(in vivo)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0493(in vivo)|MI:0493(in vivo)|MI:0493(in vivo)|MI:0493(in vivo)	HPRD_33446|UniProt_127926|UniProt_127922|HPRD_40096|HPRD_40125|HPRD_40097|HPRD_40094	MI:0403(colocalization)|MI:0915(physical association)|-	17666399|23208550|23208550|18544533|17666399|18544533|18544533	chlae-cos_7:9534|chlae-cos_7:9534|-	2	3	5	1
P07550	interacts with	Q96B67	MI:0428(imaging technique)|MI:0004(affinity chromatography technology)|MI:0428(imaging technique)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0428(imaging technique)	BIOGRID_248915|BIOGRID_146880|BIOGRID_248890|UniProt_127923|UniProt_127925|BIOGRID_248893	MI:0915(physical association)|MI:0915(physical association)|MI:0403(colocalization)|MI:0915(physical association)|MI:0403(colocalization)|MI:0915(physical association)	23236378|20559325|23236378|23208550|23208550|23236378	unspecified:32644|unspecified:32644|unspecified:32644|chlae-cos_7:9534|chlae-cos_7:9534|unspecified:32644	3	3	4	1.5
P07550	interacts with	P16615	MI:0004(affinity chromatography technology)	BIOGRID_282540|InnateDB Allergy:IDB-1635108|InnateDB:IDB-1635108	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P23634	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282638|InnateDB Allergy:IDB-1635195|InnateDB:IDB-1635195	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P36542	MI:0004(affinity chromatography technology)	BIOGRID_282539|InnateDB Allergy:IDB-1635107|InnateDB:IDB-1635107	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	Q07021	MI:0004(affinity chromatography technology)	BIOGRID_282548|InnateDB Allergy:IDB-1635115|InnateDB:IDB-1635115	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P62158	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_282544|BIOGRID_282545|BIOGRID_282543	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	23798571|23798571|23798571	unspecified:32644|unspecified:32644|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P27824	MI:0004(affinity chromatography technology)	BIOGRID_282533|InnateDB Allergy:IDB-1635112|InnateDB:IDB-1635112	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P56539	MI:0004(affinity chromatography technology)	BIOGRID_164630	MI:0915(physical association)	21362625	unspecified:32644	1	1	3	0.666666667
P07550	interacts with	P41240	MI:0492(in vitro)	HPRD_6860	-	11278940	-	1	1	1	2
P07550	interacts with	Q13617	MI:0004(affinity chromatography technology)	BIOGRID_155010	MI:0915(physical association)	19584355	unspecified:32644	1	1	4	0.5
P07550	interacts with	P68104	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282552|InnateDB Allergy:IDB-1635124|InnateDB:IDB-1635124	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	Q9H6Z9	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_155012|BIOGRID_155014|BIOGRID_155013	MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)	19584355|19584355|19584355	unspecified:32644|unspecified:32644|unspecified:32644	1	1	4	0.5
P07550	interacts with	Q14232	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_105068|HPRD_7013|InnateDB Allergy:IDB-1635090|InnateDB Allergy:IDB-1635091|InnateDB:IDB-1635090|InnateDB:IDB-1635091|UniProt_134504|UniProt_134505	MI:0403(colocalization)|MI:0407(direct interaction)|MI:0915(physical association)	9235896	taxid:0|taxid:9606|unspecified:32644|yeasx:4932	4	1	6	0.833333333
P07550	interacts with	P21333	MI:0004(affinity chromatography technology)	BIOGRID_282602	MI:0915(physical association)	23798571	unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P29992	MI:0493(in vivo)	HPRD_6870	-	7797501	-	1	1	5	0.4
P07550	interacts with	P30679	MI:0493(in vivo)	HPRD_6879	-	7608160	-	1	1	1	2
P07550	interacts with	Q5JWF2	MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)	BIOGRID_282524|BIOGRID_216234	MI:0915(physical association)|MI:0407(direct interaction)	23798571|15782186	unspecified:32644|unspecified:32644	2	2	22	0.181818182
P07550	interacts with	P62873	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)	BIOGRID_282521|BIOGRID_282514|BIOGRID_216235	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	23798571|23798571|15782186	unspecified:32644|unspecified:32644|unspecified:32644	2	2	22	0.181818182
P07550	interacts with	P63244	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282605|InnateDB Allergy:IDB-1635146|InnateDB:IDB-1635146	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P59768	MI:0055(fluorescent resonance energy transfer)	BIOGRID_216236	MI:0407(direct interaction)	15782186	unspecified:32644	1	1	22	0.090909091
P07550	interacts with	Q5JY77	MI:0096(pull down)|MI:0492(in vitro)	HPRD_30818|innatedb:IDB-225232	MI:0915(physical association)	15452121	taxid:0	2	1	56	0.053571429
P07550	interacts with	P62993	MI:0493(in vivo)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)	HPRD_3181|MINT_80179|UniProt_135409|BIOGRID_105144|BIOGRID_105143|MINT_48193	MI:0914(association)|MI:0914(association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0914(association)	9830057|9830057|9830057|9830057|9830057|9830057	unspecified:-3|unknown:-3|unspecified:32644|unspecified:32644|unspecified:-3	3	1	1	4
P07550	interacts with	P34947	MI:0492(in vitro)	HPRD_6934	-	8662852	-	1	1	1	2
P07550	interacts with	P43250	MI:0415(enzymatic study)|MI:0492(in vitro)	BIOGRID_110951|HPRD_6926	MI:0407(direct interaction)|-	9819198|9819198	unspecified:32644|-	2	1	1	3
P07550	interacts with	P55084	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282628|InnateDB Allergy:IDB-1635181|InnateDB:IDB-1635181	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P10321	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282621|InnateDB Allergy:IDB-1635173|InnateDB:IDB-1635173	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P31943	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282608|InnateDB Allergy:IDB-1635152|InnateDB:IDB-1635152	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P61978	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282609|InnateDB Allergy:IDB-1635154|InnateDB:IDB-1635154	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P14625	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282676|InnateDB Allergy:IDB-1635247|InnateDB:IDB-1635247	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P08107	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_282557|BIOGRID_282559	MI:0915(physical association)|MI:0915(physical association)	23798571|23798571	unspecified:32644|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P11021	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282531|InnateDB Allergy:IDB-1635147|InnateDB:IDB-1635147	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P11142	MI:0007(anti tag coimmunoprecipitation)	InnateDB Allergy:IDB-1635148|InnateDB:IDB-1635148	MI:0915(physical association)	23798571	taxid:9606	1	1	205	0.009756098
P07550	interacts with	P38646	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_282558|InnateDB Allergy:IDB-1635149|InnateDB:IDB-1635149	MI:0915(physical association)	23798571	taxid:9606|unspecified:32644	2	1	205	0.014634146
P07550	interacts with	P10809	MI:0004(affinity chromatography technology)	BIOGRID_282547	MI:0915(physical association)	23798571	unspecified:32644	1	1	205	0.009756098
P07550	interacts with	Q13639	MI:0012(bioluminescence resonance energy transfer)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0493(in vivo)	UniProt_81625|MINT_31305|MINT_60028|HPRD_31455	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|-	15896782|15896782|15896782|15896782	human-293:9606|crigr:10029|crigr:10029|-	3	1	2	2
P07550	interacts with	Q96J02	MI:0428(imaging technique)|MI:0493(in vivo)	BIOGRID_248914|HPRD_40096	MI:0915(physical association)|-	23236378|18544533	unspecified:32644|-	2	2	12	0.333333333
P07550	interacts with	Q9P055	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_292037|BIOGRID_282681	MI:0915(physical association)|MI:0915(physical association)	23798571|23798571	unspecified:32644|unspecified:32644	1	1	205	0.009756098
P07550	interacts with	P48549	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_105043|InnateDB Allergy:IDB-1635337|InnateDB Allergy:IDB-1635339|InnateDB:IDB-1635337|InnateDB:IDB-1635339	MI:0915(physical association)	12297500	taxid:9606|unspecified:32644	2	1	18	0.166666667
P07550	interacts with	P48544	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	BIOGRID_105044|InnateDB Allergy:IDB-1635338|InnateDB:IDB-1635338	MI:0915(physical association)	12297500	taxid:9606|unspecified:32644	2	1	18	0.166666667
